rfam_family	seq_count	noncanonical_count	canonical_count
RF00291	47	0	47
RF00292	84	0	84
RF00293	10	0	10
RF00294	75	0	75
RF00295	90	0	90
RF00296	323	0	323
RF00300	249	1	248
RF00301	67	0	67
RF00302	198	3	195
RF00303	289	1	288
RF00304	296	0	296
RF00305	21	0	21
RF00306	13	0	13
RF00307	92	0	92
RF00309	1049	5	1044
RF00310	19	0	19
RF00311	100	0	100
RF00312	49	1	48
RF00313	21	0	21
RF00314	27	0	27
RF00315	267	0	267
RF00316	27	0	27
RF00317	52	0	52
RF00318	19	0	19
RF00319	186	1	185
RF00320	31	1	30
RF00321	2812	1	2811
RF00322	449	2	447
RF00323	9	0	9
RF00324	200	1	199
RF00325	433	0	433
RF00326	158	0	158
RF00327	32	0	32
RF00328	230	0	230
RF00329	69	0	69
RF00330	329	0	329
RF00331	17	0	17
RF00332	283	1	282
RF00333	305	0	305
RF00334	396	1	395
RF00335	587	0	587
RF00336	46	0	46
RF00337	193	1	192
RF00338	14	1	13
RF00339	376	0	376
RF00340	282	3	279
RF00341	164	0	164
RF00342	124	0	124
RF00343	301	0	301
RF00344	181	0	181
RF00345	245	0	245
RF00348	115	0	115
RF00349	288	0	288
RF00350	231	1	230
RF00351	57	0	57
RF00352	146	0	146
RF00353	238	1	237
RF00355	118	0	118
RF00356	87	0	87
RF00357	464	0	464
RF00358	364	0	364
RF00359	444	0	444
RF00360	267	0	267
RF00361	68	0	68
RF00362	16	0	16
RF00363	5	0	5
RF00364	11	0	11
RF00365	6	0	6
RF00366	6	0	6
RF00367	7	0	7
RF00368	86	0	86
RF00369	62	1	61
RF00370	43	0	43
RF00371	38	0	38
RF00372	8	0	8
RF00373	373	6	367
RF00374	165	0	165
RF00375	141	10	131
RF00376	95	1	94
RF00377	193	0	193
RF00378	200	0	200
RF00379	3917	6	3911
RF00380	1072	3	1069
RF00381	293	0	293
RF00382	81	0	81
RF00383	100	0	100
RF00384	17	0	17
RF00385	18	0	18
RF00386	162	7	155
RF00387	40	0	40
RF00388	12	0	12
RF00389	43	0	43
RF00390	7	0	7
RF00391	564	2	562
RF00392	419	5	414
RF00393	294	3	291
RF00394	102	0	102
RF00396	221	0	221
RF00397	169	1	168
RF00398	218	0	218
RF00399	209	2	207
RF00400	243	0	243
RF00401	137	0	137
RF00402	296	1	295
RF00403	172	0	172
RF00404	127	0	127
RF00405	341	0	341
RF00406	443	0	443
RF00407	134	0	134
RF00408	328	5	323
RF00409	1729	1	1728
RF00410	1235	0	1235
RF00411	222	1	221
RF00412	196	0	196
RF00413	296	0	296
RF00414	202	1	201
RF00415	120	0	120
RF00416	141	1	140
RF00417	51	1	50
RF00418	144	0	144
RF00419	135	0	135
RF00420	227	2	225
RF00421	190	1	189
RF00422	189	0	189
RF00423	161	1	160
RF00424	213	2	211
RF00425	357	2	355
RF00426	148	0	148
RF00427	105	0	105
RF00428	213	0	213
RF00429	246	0	246
RF00430	219	1	218
RF00431	269	1	268
RF00432	600	2	598
RF00433	14	0	14
RF00434	28	0	28
RF00435	251	1	250
RF00436	53279	56	53223
RF00437	10	0	10
RF00438	263	0	263
RF00439	111	0	111
RF00440	123	0	123
RF00441	28	0	28
RF00442	931	2	929
RF00443	199	1	198
RF00444	135	0	135
RF00445	833	0	833
RF00446	667	0	667
RF00447	43	1	42
RF00448	10	1	9
RF00449	44	1	43
RF00451	1090	1	1089
RF00452	655	0	655
RF00453	5	0	5
RF00454	37	0	37
RF00455	460	0	460
RF00456	534	0	534
RF00457	54	0	54
RF00458	17	0	17
RF00459	623	39	584
RF00460	133	0	133
RF00461	31	1	30
RF00462	6	0	6
RF00463	14	0	14
RF00464	243	1	242
RF00467	53	0	53
RF00468	58	3	55
RF00470	36	1	35
RF00471	60	0	60
RF00472	59	1	58
RF00473	73	0	73
RF00474	64	1	63
RF00475	79	2	77
RF00476	634	1	633
RF00477	33	2	31
RF00478	231	1	230
RF00479	65	0	65
RF00480	161	22	139
RF00481	13	0	13
RF00482	140	0	140
RF00483	36	1	35
RF00484	41	0	41
RF00485	3071	6	3065
RF00486	177	0	177
RF00487	141	1	140
RF00488	40	2	38
RF00489	222	0	222
RF00490	234	0	234
RF00492	76	0	76
RF00493	151	0	151
RF00494	252	1	251
RF00495	44	2	42
RF00498	7	0	7
RF00499	7	0	7
RF00500	6	0	6
RF00501	15	0	15
RF00502	5	0	5
RF00503	30	0	30
RF00504	4600	5	4595
RF00505	21	0	21
RF00506	199	0	199
RF00507	206	0	206
RF00509	52	2	50
RF00510	25	0	25
RF00511	6	0	6
RF00512	118	0	118
RF00513	187	0	187
RF00514	290	1	289
RF00515	1201	1	1200
RF00516	236	0	236
RF00517	627	0	627
RF00518	228	2	226
RF00519	1027	1	1026
RF00520	87	0	87
RF00521	840	1	839
RF00522	398	0	398
RF00523	241	2	239
RF00524	1579	2	1577
RF00525	116	0	116
RF00526	45	0	45
RF00527	29	0	29
RF00528	79	0	79
RF00529	110	0	110
RF00530	76	0	76
RF00531	38	0	38
RF00532	62	0	62
RF00533	36	0	36
RF00534	57	0	57
RF00535	60	0	60
RF00536	45	0	45
RF00537	48	0	48
RF00538	59	1	58
RF00539	24	0	24
RF00540	61	0	61
RF00541	21	0	21
RF00542	80	0	80
RF00543	93	0	93
RF00544	53	0	53
RF00545	83	1	82
RF00546	83	0	83
RF00547	58	1	57
RF00548	754	4	750
RF00549	45	1	44
RF00550	47	1	46
RF00551	25	0	25
RF00552	137	0	137
RF00553	160	0	160
RF00554	1027	0	1027
RF00555	293	0	293
RF00556	176	0	176
RF00557	1712	1	1711
RF00558	527	0	527
RF00559	673	0	673
RF00560	1743	1	1742
RF00561	851	8	843
RF00562	153	0	153
RF00563	217	1	216
RF00564	208	1	207
RF00565	159	1	158
RF00566	191	0	191
RF00567	171	0	171
RF00568	484	1	483
RF00569	249	0	249
RF00570	57	0	57
RF00571	226	1	225
RF00572	239	1	238
RF00573	154	0	154
RF00574	104	0	104
RF00575	223	0	223
RF00576	122	0	122
RF00577	129	0	129
RF00578	131	0	131
RF00579	115	0	115
RF00580	192	1	191
RF00581	368	0	368
RF00582	168	0	168
RF00584	53	0	53
RF00586	163	0	163
RF00588	131	1	130
RF00591	126	0	126
RF00592	116	0	116
RF00593	198	1	197
RF00594	69	0	69
RF00598	243	2	241
RF00599	205	0	205
RF00600	215	1	214
RF00601	196	0	196
RF00602	118	1	117
RF00603	59	0	59
RF00604	257	0	257
RF00606	119	0	119
RF00607	100	0	100
RF00608	134	0	134
RF00609	176	0	176
RF00610	51	0	51
RF00611	149	0	149
RF00612	131	0	131
RF00613	149	1	148
RF00614	647	0	647
RF00615	17	1	16
RF00616	28	0	28
RF00617	151	0	151
RF00618	449	2	447
RF00619	2583	11	2572
RF00620	59	3	56
RF00621	30	0	30
RF00622	110	0	110
RF00623	69	0	69
RF00624	140	0	140
RF00625	56	0	56
RF00626	4	0	4
RF00627	88	0	88
RF00628	89	0	89
RF00629	71	0	71
RF00630	357	0	357
RF00632	3	0	3
RF00634	1244	0	1244
